SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_PHONE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT
100015,Cash loans,F,N,Y,No child,38419.155,148365.0,10678.5,135000.0,Family,Pensioner/Student/Unemployed,Lower Secondary & Secondary,Married,Owner,0.015221,0,0,1,2.0,2
100016,Cash loans,F,N,Y,No child,67500.0,80865.0,5881.5,67500.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.031329,1,1,1,2.0,2
100017,Cash loans,M,Y,N,One child,225000.0,918468.0,28966.5,697500.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.016612,1,0,0,3.0,2
100018,Cash loans,F,N,Y,No child,189000.0,773680.5,32778.0,679500.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.010006,1,0,0,2.0,2
100019,Cash loans,M,Y,Y,No child,157500.0,299772.0,20160.0,247500.0,Family,Private worker,Lower Secondary & Secondary,Not Married,Tenant,0.020713,1,0,0,1.0,3
100020,Cash loans,M,N,N,No child,108000.0,509602.5,26149.5,387000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.018634,1,0,0,2.0,2
100021,Revolving loans,F,N,Y,One child,81000.0,270000.0,13500.0,270000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.010966,1,0,0,3.0,2
100022,Revolving loans,F,N,Y,No child,112500.0,157500.0,7875.0,157500.0,Other,Private worker,Lower Secondary & Secondary,Widow,Owner,0.04622,1,0,1,1.0,1
100023,Cash loans,F,N,Y,One child,90000.0,544491.0,17563.5,454500.0,Unaccompanied,Public worker,Higher education,Not Married,Owner,0.015221,1,1,1,2.0,2
100024,Revolving loans,M,Y,Y,No child,135000.0,427500.0,21375.0,427500.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.015221,1,0,0,2.0,2
100025,Cash loans,F,Y,Y,One child,202500.0,1132573.5,37561.5,927000.0,Unaccompanied,Commercial associate,Lower Secondary & Secondary,Married,Owner,0.025164,1,0,0,3.0,2
100026,Cash loans,F,N,N,One child,450000.0,497520.0,32521.5,450000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Tenant,0.020713,1,0,0,3.0,3
100027,Cash loans,F,N,Y,No child,83250.0,239850.0,23850.0,225000.0,Unaccompanied,Pensioner/Student/Unemployed,Lower Secondary & Secondary,Married,Owner,0.006296,0,0,1,2.0,3
100029,Cash loans,M,Y,N,Two children,135000.0,247500.0,12703.5,247500.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.026392,1,0,0,4.0,2
100030,Cash loans,F,N,Y,No child,90000.0,225000.0,11074.5,225000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.028663,1,0,1,2.0,2
100031,Cash loans,F,N,Y,No child,112500.0,979992.0,27076.5,702000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Widow,Owner,0.018029,1,0,0,1.0,3
100032,Cash loans,M,N,Y,One child,112500.0,327024.0,23827.5,270000.0,Family,Private worker,Lower Secondary & Secondary,Married,Owner,0.019101,1,0,0,3.0,2
100033,Cash loans,M,Y,Y,No child,270000.0,790830.0,57676.5,675000.0,Unaccompanied,Public worker,Higher education,Not Married,Owner,0.04622,1,0,0,1.0,1
100034,Revolving loans,M,N,Y,No child,90000.0,180000.0,9000.0,180000.0,Unaccompanied,Private worker,Higher education,Not Married,No or low rent,0.030755,1,0,0,1.0,2
100035,Cash loans,F,N,Y,No child,292500.0,665892.0,24592.5,477000.0,Unaccompanied,Commercial associate,Lower Secondary & Secondary,Married,Owner,0.025164,1,0,0,2.0,2
100036,Cash loans,F,N,Y,No child,112500.0,512064.0,25033.5,360000.0,Family,Private worker,Lower Secondary & Secondary,Married,Owner,0.008575,1,0,0,2.0,2
100037,Cash loans,F,N,N,No child,90000.0,199008.0,20893.5,180000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.010032,1,1,0,2.0,2
100039,Cash loans,M,Y,N,One child,360000.0,733315.5,39069.0,679500.0,Unaccompanied,Commercial associate,Lower Secondary & Secondary,Married,Owner,0.015221,1,0,0,3.0,2
100040,Cash loans,F,N,Y,No child,135000.0,1125000.0,32895.0,1125000.0,Unaccompanied,Public worker,Higher education,Married,Owner,0.0196889999999999,1,0,0,2.0,2
100041,Cash loans,F,N,N,No child,112500.0,450000.0,44509.5,450000.0,Unaccompanied,Private worker,Higher education,Married,Owner,0.008575,1,1,1,2.0,2
100043,Cash loans,F,N,Y,Two children,198000.0,641173.5,23157.0,553500.0,Unaccompanied,Commercial associate,Lower Secondary & Secondary,Married,Owner,0.01885,1,1,1,4.0,2
100044,Cash loans,M,N,Y,No child,121500.0,454500.0,15151.5,454500.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.030755,1,0,1,2.0,2
100045,Cash loans,F,N,Y,No child,99000.0,247275.0,17338.5,225000.0,Unaccompanied,Pensioner/Student/Unemployed,Lower Secondary & Secondary,Married,Owner,0.006207,0,0,1,2.0,2
100046,Revolving loans,M,Y,Y,No child,180000.0,540000.0,27000.0,540000.0,Unaccompanied,Private worker,Higher education,Married,Owner,0.025164,1,0,0,2.0,2
100047,Cash loans,M,N,Y,No child,202500.0,1193580.0,35028.0,855000.0,Unaccompanied,Commercial associate,Lower Secondary & Secondary,Married,Owner,0.025164,1,0,0,2.0,2
100048,Cash loans,F,N,Y,No child,202500.0,604152.0,29196.0,540000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.009175,1,0,1,2.0,2
100049,Cash loans,F,N,N,No child,135000.0,288873.0,16258.5,238500.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.007305,1,1,1,2.0,3
100050,Cash loans,F,N,Y,No child,108000.0,746280.0,42970.5,675000.0,Unaccompanied,Pensioner/Student/Unemployed,Higher education,Not Married,Owner,0.010966,0,0,0,1.0,2
100051,Cash loans,M,N,Y,No child,202500.0,661702.5,48280.5,598500.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.007114,1,1,0,2.0,2
100052,Revolving loans,F,N,Y,One child,90000.0,180000.0,9000.0,180000.0,Family,Private worker,Lower Secondary & Secondary,Married,Owner,0.009334,1,1,0,3.0,2
100053,Cash loans,F,N,Y,No child,202500.0,305221.5,17649.0,252000.0,Family,Pensioner/Student/Unemployed,Lower Secondary & Secondary,Not Married,Owner,0.0196889999999999,0,0,0,1.0,2
100054,Cash loans,F,N,Y,No child,99000.0,260640.0,26838.0,225000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.022625,1,1,1,2.0,2
100055,Cash loans,F,N,N,No child,130500.0,1350000.0,37255.5,1350000.0,Unaccompanied,Public worker,Lower Secondary & Secondary,Married,Owner,0.020713,1,1,1,2.0,3
100056,Cash loans,M,Y,Y,No child,360000.0,1506816.0,49927.5,1350000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.010006,1,0,0,2.0,2
100058,Revolving loans,F,N,Y,No child,54000.0,135000.0,6750.0,135000.0,Unaccompanied,Public worker,Higher education,Married,Owner,0.0145199999999999,1,0,0,2.0,2
100059,Cash loans,M,Y,Y,One child,540000.0,675000.0,34596.0,675000.0,Unaccompanied,Commercial associate,Higher education,Married,Owner,0.026392,1,0,1,3.0,2
100060,Cash loans,M,Y,N,No child,76500.0,454500.0,14661.0,454500.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.028663,1,1,0,2.0,2
100061,Cash loans,F,N,Y,Two children,225000.0,314055.0,16164.0,238500.0,Unaccompanied,Commercial associate,Higher education,Married,Owner,0.006629,1,0,0,4.0,2
100062,Cash loans,M,Y,N,No child,81000.0,675000.0,32472.0,675000.0,Unaccompanied,Pensioner/Student/Unemployed,Lower Secondary & Secondary,Married,Owner,0.010006,0,0,1,2.0,2
100063,Cash loans,F,N,Y,No child,180000.0,837427.5,45558.0,666000.0,Unaccompanied,Private worker,Higher education,Married,Owner,0.022625,1,0,1,2.0,2
100064,Cash loans,F,N,N,No child,67500.0,298728.0,15381.0,202500.0,Family,Pensioner/Student/Unemployed,Lower Secondary & Secondary,Not Married,No or low rent,0.019101,0,0,0,1.0,2
100068,Revolving loans,M,N,Y,No child,81000.0,247500.0,12375.0,247500.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.031329,1,1,1,2.0,2
100069,Cash loans,M,Y,Y,One child,360000.0,640458.0,27265.5,517500.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Separated,Owner,0.00733,1,0,0,2.0,2
100070,Cash loans,M,Y,Y,No child,540000.0,1227901.5,46899.0,1129500.0,Unaccompanied,Private worker,Higher education,Widow,Owner,0.032561,1,1,0,1.0,1
100071,Cash loans,F,N,Y,No child,180000.0,1663987.5,86989.5,1588500.0,Family,Commercial associate,Lower Secondary & Secondary,Married,Owner,0.018801,1,0,0,2.0,2
100072,Cash loans,M,N,N,No child,180000.0,1080000.0,44118.0,1080000.0,Unaccompanied,Private worker,Incomplete higher,Not Married,No or low rent,0.010006,1,0,0,1.0,2
100073,Cash loans,M,Y,Y,No child,324000.0,1130760.0,40189.5,810000.0,Unaccompanied,Pensioner/Student/Unemployed,Higher education,Married,Owner,0.01885,0,0,0,2.0,2
100075,Cash loans,F,N,N,No child,112500.0,95940.0,10462.5,90000.0,Family,Private worker,Higher education,Not Married,Owner,0.00496,1,0,0,1.0,2
100076,Cash loans,M,Y,N,No child,180000.0,315000.0,9679.5,315000.0,Unaccompanied,Commercial associate,Lower Secondary & Secondary,Married,Owner,0.028663,1,0,0,2.0,2
100077,Cash loans,M,N,Y,No child,180000.0,1256400.0,40657.5,900000.0,Unaccompanied,Commercial associate,Lower Secondary & Secondary,Not Married,Owner,0.072508,1,0,0,1.0,1
100078,Cash loans,F,Y,Y,No child,180000.0,1035000.0,43983.0,1035000.0,Unaccompanied,Public worker,Higher education,Married,Owner,0.028663,1,0,0,2.0,2
100079,Revolving loans,M,N,Y,No child,225000.0,270000.0,13500.0,270000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Separated,No or low rent,0.00733,1,0,0,1.0,2
100080,Revolving loans,F,N,N,One child,157500.0,450000.0,22500.0,450000.0,Unaccompanied,Commercial associate,Lower Secondary & Secondary,Married,Owner,0.010966,1,0,0,3.0,2
100081,Cash loans,M,Y,N,No child,180000.0,450000.0,21109.5,450000.0,Unaccompanied,Commercial associate,Lower Secondary & Secondary,Married,Owner,0.0145199999999999,1,0,0,2.0,2
100082,Cash loans,M,N,N,Two children,180000.0,450000.0,21109.5,450000.0,Unaccompanied,Commercial associate,Higher education,Married,Owner,0.01885,1,1,1,4.0,2
100083,Cash loans,M,Y,Y,No child,103500.0,573628.5,24435.0,463500.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.0096569999999999,1,0,0,2.0,2
100084,Cash loans,M,N,Y,Two children,225000.0,495351.0,26140.5,459000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Separated,Owner,0.02461,1,0,0,3.0,2
100085,Cash loans,M,N,Y,One child,157500.0,755190.0,28894.5,675000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.016612,1,1,0,3.0,2
100086,Cash loans,F,N,Y,One child,135000.0,675000.0,21775.5,675000.0,Unaccompanied,Commercial associate,Higher education,Widow,Owner,0.019101,1,0,0,2.0,2
100087,Cash loans,F,N,Y,One child,202500.0,1288350.0,37800.0,1125000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.003069,1,0,0,3.0,3
100088,Revolving loans,F,N,N,No child,112500.0,135000.0,6750.0,135000.0,Unaccompanied,Commercial associate,Higher education,Married,Owner,0.0228,1,0,0,2.0,2
100089,Cash loans,M,N,Y,No child,135000.0,337761.0,15781.5,256500.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.025164,1,0,1,2.0,2
100093,Cash loans,F,N,Y,One child,94500.0,585000.0,28273.5,585000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.028663,1,0,1,3.0,2
100094,Cash loans,F,N,Y,No child,108000.0,113760.0,5301.0,90000.0,Unaccompanied,Pensioner/Student/Unemployed,Higher education,Not Married,Owner,0.030755,0,0,0,1.0,2
100095,Revolving loans,F,N,Y,Two children,67500.0,135000.0,6750.0,135000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.020246,1,0,1,4.0,3
100096,Cash loans,F,N,Y,No child,81000.0,252000.0,14593.5,252000.0,Unaccompanied,Pensioner/Student/Unemployed,Lower Secondary & Secondary,Married,Owner,0.028663,0,0,0,2.0,2
100097,Cash loans,M,Y,Y,No child,157500.0,760225.5,30280.5,679500.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.035792,1,0,0,2.0,2
100098,Revolving loans,M,Y,N,No child,225000.0,270000.0,13500.0,270000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.01885,1,0,0,2.0,2
100099,Cash loans,F,N,Y,No child,360000.0,733315.5,41076.0,679500.0,Unaccompanied,Pensioner/Student/Unemployed,Lower Secondary & Secondary,Separated,Owner,0.009175,0,0,0,1.0,2
100100,Cash loans,M,Y,Y,Two children,202500.0,796396.5,38443.5,643500.0,Unaccompanied,Private worker,Higher education,Married,Owner,0.008019,1,0,0,4.0,2
100101,Cash loans,F,Y,Y,No child,202500.0,343377.0,22072.5,283500.0,Unaccompanied,Public worker,Higher education,Not Married,Owner,0.072508,1,0,0,1.0,1
100102,Cash loans,F,N,N,One child,126000.0,327024.0,10264.5,270000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Not Married,Owner,0.02461,1,0,1,2.0,2
100103,Cash loans,F,N,Y,No child,72000.0,450000.0,16965.0,450000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.009175,1,1,0,2.0,2
100104,Cash loans,F,N,Y,No child,90000.0,547344.0,30690.0,472500.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.022625,1,0,1,2.0,2
100105,Cash loans,F,N,Y,No child,193500.0,225000.0,23755.5,225000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.031329,1,1,1,2.0,2
100108,Cash loans,F,N,Y,> Three children,171000.0,545040.0,31288.5,450000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.006629,1,1,1,5.0,2
100110,Cash loans,M,Y,Y,> Three children,135000.0,373140.0,25065.0,337500.0,Unaccompanied,Commercial associate,Lower Secondary & Secondary,Married,Owner,0.035792,1,0,0,5.0,2
100111,Cash loans,F,Y,N,One child,112500.0,862560.0,27954.0,720000.0,Unaccompanied,Commercial associate,Lower Secondary & Secondary,Married,No or low rent,0.0228,1,0,0,3.0,2
100112,Cash loans,M,Y,Y,No child,315000.0,953460.0,64107.0,900000.0,Family,Commercial associate,Incomplete higher,Not Married,No or low rent,0.030755,1,0,0,1.0,2
100113,Cash loans,M,Y,N,No child,76500.0,135000.0,6696.0,135000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Not Married,Owner,0.028663,1,1,0,1.0,2
100114,Cash loans,F,N,Y,No child,135000.0,284400.0,22599.0,225000.0,Unaccompanied,Commercial associate,Higher education,Not Married,Owner,0.030755,1,0,0,1.0,2
100115,Cash loans,F,N,N,No child,90000.0,315000.0,14683.5,315000.0,Family,Private worker,Lower Secondary & Secondary,Married,Owner,0.028663,1,1,1,2.0,2
100116,Cash loans,F,N,Y,No child,243000.0,900000.0,32017.5,900000.0,Unaccompanied,Private worker,Higher education,Married,Owner,0.010006,1,0,0,2.0,2
100118,Cash loans,F,N,Y,No child,90000.0,675000.0,26541.0,675000.0,Unaccompanied,Pensioner/Student/Unemployed,Lower Secondary & Secondary,Widow,Owner,0.026392,0,0,0,1.0,2
100119,Revolving loans,F,N,Y,No child,54000.0,180000.0,9000.0,180000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.015221,1,0,0,2.0,2
100120,Cash loans,F,N,N,No child,135000.0,781920.0,28215.0,675000.0,Unaccompanied,Private worker,Higher education,Married,Owner,0.0196889999999999,1,1,0,2.0,2
100121,Cash loans,M,N,Y,No child,126000.0,787131.0,26145.0,679500.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,No or low rent,0.018209,1,1,1,2.0,3
100122,Cash loans,F,N,N,One child,76500.0,808650.0,26217.0,675000.0,Unaccompanied,Commercial associate,Higher education,Married,No or low rent,0.0228,1,0,1,3.0,2
100123,Cash loans,F,N,N,No child,103500.0,675000.0,19737.0,675000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Widow,Owner,0.020246,1,1,0,1.0,3
100124,Cash loans,M,N,Y,No child,225000.0,448272.0,28647.0,396000.0,Unaccompanied,Pensioner/Student/Unemployed,Lower Secondary & Secondary,Widow,Owner,0.072508,0,0,1,1.0,1
100125,Cash loans,F,N,N,No child,126000.0,263686.5,26208.0,238500.0,Unaccompanied,Pensioner/Student/Unemployed,Lower Secondary & Secondary,Married,Owner,0.009549,0,0,1,2.0,2
100126,Revolving loans,M,N,Y,Two children,135000.0,180000.0,9000.0,180000.0,Family,Private worker,Lower Secondary & Secondary,Married,Owner,0.04622,1,1,0,4.0,1
100127,Cash loans,M,N,Y,No child,112500.0,52128.0,5341.5,45000.0,Unaccompanied,Pensioner/Student/Unemployed,Lower Secondary & Secondary,Married,Owner,0.02461,0,0,1,2.0,2
100129,Revolving loans,F,Y,Y,One child,85500.0,135000.0,6750.0,135000.0,Unaccompanied,Private worker,Higher education,Married,Owner,0.018029,1,0,0,3.0,3
100130,Cash loans,F,N,Y,One child,157500.0,723996.0,30802.5,585000.0,Unaccompanied,Commercial associate,Incomplete higher,Separated,Owner,0.0072739999999999,1,0,1,2.0,2
100131,Cash loans,F,N,Y,No child,270000.0,891072.0,45625.5,720000.0,Unaccompanied,Commercial associate,Lower Secondary & Secondary,Not Married,Owner,0.072508,1,0,0,1.0,1
100132,Cash loans,F,N,Y,No child,202500.0,1136439.0,73611.0,1089000.0,Unaccompanied,Commercial associate,Lower Secondary & Secondary,Widow,Owner,0.032561,1,0,1,1.0,1
100133,Cash loans,F,N,N,No child,67500.0,384048.0,18810.0,270000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,No or low rent,0.002134,1,0,0,2.0,3
100134,Revolving loans,F,N,N,No child,202500.0,180000.0,9000.0,180000.0,Unaccompanied,Commercial associate,Lower Secondary & Secondary,Married,Owner,0.018634,1,0,0,2.0,2
100135,Cash loans,M,N,Y,No child,135000.0,391194.0,26271.0,319500.0,Unaccompanied,Commercial associate,Lower Secondary & Secondary,Married,Owner,0.00733,1,0,0,2.0,2
100136,Cash loans,M,Y,N,One child,157500.0,1571931.0,49356.0,1435500.0,Unaccompanied,Public worker,Lower Secondary & Secondary,Married,Owner,0.04622,1,0,1,3.0,1
100137,Cash loans,F,Y,Y,No child,225000.0,891072.0,45625.5,720000.0,Family,Pensioner/Student/Unemployed,Lower Secondary & Secondary,Married,Owner,0.020246,0,0,0,2.0,3
100138,Cash loans,M,Y,N,No child,135000.0,824823.0,29223.0,688500.0,Unaccompanied,Pensioner/Student/Unemployed,Higher education,Married,Owner,0.04622,0,0,0,2.0,1
100139,Cash loans,F,N,N,One child,157500.0,302341.5,24016.5,261000.0,Family,Private worker,Lower Secondary & Secondary,Married,Owner,0.010276,1,0,0,3.0,2
100140,Revolving loans,F,N,N,No child,157500.0,675000.0,33750.0,675000.0,Unaccompanied,Commercial associate,Higher education,Married,Owner,0.030755,1,0,0,2.0,2
100142,Cash loans,M,Y,Y,One child,360000.0,579195.0,27994.5,468000.0,Family,Public worker,Higher education,Married,Owner,0.018801,1,0,0,3.0,2
100143,Revolving loans,M,N,Y,No child,162000.0,270000.0,13500.0,270000.0,Unaccompanied,Public worker,Higher education,Married,Owner,0.035792,1,0,0,2.0,2
100144,Cash loans,F,N,N,No child,112500.0,535500.0,30028.5,535500.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Separated,Owner,0.028663,1,0,0,1.0,2
100145,Cash loans,F,Y,Y,One child,202500.0,260725.5,16789.5,198000.0,Family,Private worker,Lower Secondary & Secondary,Separated,Owner,0.01885,1,0,0,2.0,2
100146,Cash loans,M,Y,Y,No child,117000.0,327024.0,12456.0,270000.0,Unaccompanied,Pensioner/Student/Unemployed,Lower Secondary & Secondary,Married,Owner,0.00733,0,0,0,2.0,2
100147,Cash loans,F,N,Y,One child,135000.0,518562.0,22099.5,463500.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.003813,1,0,0,3.0,2
100148,Cash loans,F,N,Y,No child,247500.0,755190.0,36459.0,675000.0,Family,Commercial associate,Lower Secondary & Secondary,Married,Owner,0.008575,1,0,0,2.0,2
100149,Cash loans,M,Y,N,No child,171000.0,539590.5,26374.5,445500.0,Family,Private worker,Lower Secondary & Secondary,Married,Owner,0.030755,1,0,0,2.0,2
100151,Cash loans,M,N,N,No child,135000.0,182016.0,11772.0,144000.0,Unaccompanied,Commercial associate,Higher education,Not Married,Owner,0.019101,1,0,0,1.0,2
100152,Cash loans,F,N,Y,No child,157500.0,254412.0,9720.0,166500.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,No or low rent,0.010032,1,0,0,2.0,2
100153,Cash loans,M,Y,Y,No child,202500.0,1107981.0,32526.0,967500.0,Family,Private worker,Lower Secondary & Secondary,Married,Owner,0.031329,1,0,0,2.0,2
100154,Revolving loans,M,N,N,No child,144000.0,180000.0,9000.0,180000.0,Family,Private worker,Lower Secondary & Secondary,Married,Owner,0.030755,1,0,0,2.0,2
100155,Cash loans,M,N,N,No child,157500.0,675000.0,21906.0,675000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.015221,1,1,1,2.0,2
100156,Cash loans,F,Y,N,Two children,157500.0,945000.0,39127.5,945000.0,Family,Commercial associate,Lower Secondary & Secondary,Married,No or low rent,0.018209,1,0,0,4.0,3
100157,Cash loans,M,N,Y,No child,180000.0,1755000.0,61132.5,1755000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.0145199999999999,1,0,0,2.0,2
100158,Cash loans,M,N,N,No child,180000.0,590337.0,27486.0,477000.0,Unaccompanied,Commercial associate,Incomplete higher,Married,Owner,0.0228,1,0,1,2.0,2
100159,Cash loans,F,N,Y,No child,225000.0,1515415.5,41800.5,1354500.0,Unaccompanied,Commercial associate,Lower Secondary & Secondary,Married,Owner,0.0038179999999999,1,1,1,2.0,2
100160,Cash loans,M,N,Y,No child,292500.0,675000.0,36747.0,675000.0,Unaccompanied,Private worker,Higher education,Married,Owner,0.035792,1,1,1,2.0,2
100161,Cash loans,F,N,Y,No child,90000.0,370629.0,13972.5,306000.0,Family,Commercial associate,Lower Secondary & Secondary,Married,Owner,0.00712,1,0,0,2.0,2
100162,Cash loans,F,N,Y,No child,112500.0,547344.0,18216.0,472500.0,Family,Pensioner/Student/Unemployed,Lower Secondary & Secondary,Not Married,Owner,0.020246,0,0,0,1.0,3
100163,Cash loans,F,N,Y,No child,130500.0,550489.5,19773.0,454500.0,Unaccompanied,Private worker,Higher education,Separated,Owner,0.018209,1,1,1,1.0,3
100164,Cash loans,F,Y,N,One child,450000.0,407434.5,43362.0,387000.0,Unaccompanied,Commercial associate,Higher education,Married,Owner,0.0105,1,0,0,3.0,3
100165,Cash loans,F,Y,Y,No child,175500.0,1293502.5,35568.0,1129500.0,Family,Pensioner/Student/Unemployed,Lower Secondary & Secondary,Married,Owner,0.01885,0,0,1,2.0,2
100166,Cash loans,F,N,Y,> Three children,58500.0,152820.0,15241.5,135000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,No or low rent,0.025164,1,1,0,5.0,2
100167,Cash loans,F,N,Y,No child,180000.0,427500.0,46170.0,427500.0,Unaccompanied,Commercial associate,Lower Secondary & Secondary,Married,Owner,0.026392,1,0,1,2.0,2
100173,Cash loans,F,N,N,No child,117000.0,781920.0,26725.5,675000.0,Unaccompanied,Private worker,Higher education,Not Married,Owner,0.02461,1,0,1,1.0,2
100174,Revolving loans,F,N,Y,Two children,180000.0,225000.0,11250.0,225000.0,Family,Private worker,Incomplete higher,Married,No or low rent,0.032561,1,1,1,4.0,1
100175,Cash loans,F,N,Y,One child,202500.0,1251072.0,45067.5,1080000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.010147,1,0,0,3.0,2
100176,Cash loans,F,N,Y,No child,135000.0,1078200.0,31653.0,900000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.010006,1,0,1,2.0,2
